type	latitude	longitude	altitude (m)	slope (%)	distance (km)	distance_interval (m)	name	desc
T	20.572129855	-75.210736903	64.4	6.9	242.110	19.66		
T	20.572290018	-75.210636425	63.7	-3.2	242.131	20.60		
T	20.572451753	-75.210568795	60.9	-14.4	242.150	19.24		
T	20.572678554	-75.210467230	58.9	-7.4	242.177	27.25		
T	20.572841172	-75.210399224	58.8	-0.7	242.196	19.35		
T	20.573136744	-75.210395530	60.7	5.8	242.229	32.73		
T	20.573172382	-75.210461633	61.1	5.2	242.237	7.94		
T	20.573210951	-75.210594361	61.6	3.3	242.252	14.48		
T	20.573122186	-75.210828425	60.5	-4.2	242.278	26.31		
T	20.572971963	-75.211195571	59.6	-2.1	242.320	41.74		
T	20.572824176	-75.211628525	57.5	-4.5	242.368	48.01		
T	20.572641535	-75.212027333	56.0	-3.1	242.414	46.24		
T	20.572398608	-75.212557777	55.5	-0.8	242.475	61.50		
T	20.572223029	-75.213055181	53.0	-4.5	242.531	55.38		
T	20.572040975	-75.213385841	50.2	-7.1	242.571	39.94		
T	20.571823948	-75.213681601	48.7	-3.6	242.610	39.09		
T	20.571857114	-75.213682287	48.7	-0.1	242.614	3.67		
T	20.572080720	-75.213552359	49.7	3.4	242.642	28.22		
T	20.572268589	-75.213354788	51.2	5.3	242.671	29.27		
T	20.572519736	-75.213090671	54.8	9.1	242.710	39.13		
T	20.572808986	-75.212926046	56.1	3.4	242.746	36.33		
T	20.573102251	-75.212827657	57.0	2.7	242.781	34.05		
T	20.573366491	-75.212762816	57.6	2.3	242.811	30.03		
T	20.573637829	-75.212765996	54.8	-9.6	242.841	30.04		
T	20.573780086	-75.212902068	51.8	-13.8	242.862	21.20		
T	20.573718090	-75.213035644	51.1	-5.0	242.877	15.53		
T	20.573557217	-75.213234764	50.2	-3.2	242.905	27.35		
T	20.573267434	-75.213565280	51.9	3.6	242.952	47.08		
T	20.572983533	-75.213896736	51.7	-0.4	242.998	46.71		
T	20.572694767	-75.214093351	48.9	-7.5	243.036	37.98		
T	20.572339917	-75.214254831	46.5	-5.5	243.079	42.74		
T	20.571951223	-75.214348447	46.3	-0.4	243.123	44.13		
T	20.571691005	-75.214441670	44.2	-7.0	243.154	30.40		
T	20.571396595	-75.214499889	46.7	7.6	243.187	33.15		
T	20.571166998	-75.214493850	49.6	11.3	243.212	25.43		
T	20.570971779	-75.214489256	50.4	3.5	243.234	21.62		
T	20.570772139	-75.214385138	52.1	7.2	243.259	24.62		
T	20.570668612	-75.214250511	54.8	14.8	243.277	18.12		
T	20.570566804	-75.214149154	56.9	13.3	243.292	15.45		
T	20.570495919	-75.214015694	56.8	-0.3	243.308	15.98		
T	20.570453020	-75.213784400	56.5	-1.3	243.333	24.58		
T	20.570443640	-75.213554695	55.3	-5.0	243.357	23.97		
T	20.570462560	-75.213227320	54.3	-2.9	243.391	34.20		
T	20.570542397	-75.212802729	57.7	7.6	243.436	45.14		
T	20.570688898	-75.212379308	57.7	-0.2	243.483	47.03		
T	20.570904314	-75.211924524	61.0	6.3	243.536	53.08		
T	20.571113309	-75.211433080	58.1	-5.1	243.592	56.22		
T	20.571391487	-75.211103426	57.0	-2.4	243.638	46.15		
T	20.571577427	-75.210904678	59.6	8.8	243.668	29.21		
T	20.571899903	-75.210803750	63.1	9.4	243.705	37.22		
T	20.572069254	-75.210869408	63.3	1.1	243.725	19.96		
T	20.572137079	-75.210934950	63.5	1.6	243.735	10.15		
T	20.572207829	-75.211066751	63.9	2.5	243.751	15.82		
T	20.572218991	-75.211298848	61.9	-7.9	243.775	24.23		
T	20.572201818	-75.211630698	57.4	-13.0	243.810	34.65		
T	20.572119343	-75.211995470	54.3	-8.0	243.849	39.11		
T	20.571973459	-75.212425835	54.1	-0.5	243.897	47.69		
T	20.571693106	-75.212885301	49.9	-7.4	243.954	57.08		
T	20.571317526	-75.213406920	50.1	0.3	244.022	68.46		
T	20.570977793	-75.213894723	53.0	4.6	244.085	63.26		
T	20.570571304	-75.214248132	55.4	4.2	244.143	58.16		
T	20.570223389	-75.214436009	51.8	-8.5	244.187	43.21		
T	20.569902893	-75.214523649	49.6	-5.9	244.223	36.64		
T	20.569678362	-75.214548869	50.2	2.6	244.248	25.00		
T	20.569422550	-75.214541182	50.7	1.5	244.277	28.33		
T	20.569164152	-75.214436045	56.1	17.7	244.307	30.64		
T	20.569094524	-75.214271922	58.2	11.3	244.326	18.77		
T	20.568990634	-75.214042238	59.9	6.3	244.353	26.57		
T	20.568881994	-75.213683608	60.4	1.2	244.392	39.28		
T	20.568835232	-75.213263201	60.5	0.3	244.436	44.14		
T	20.568814032	-75.212840252	62.6	4.9	244.480	44.16		
T	20.568798668	-75.212358408	66.8	8.4	244.530	50.27		
T	20.568786237	-75.212036206	67.7	2.5	244.564	33.62		
T	20.568807522	-75.211778714	70.0	8.5	244.591	26.95		
T	20.568769435	-75.211649066	71.7	12.3	244.605	14.16		
T	20.568644855	-75.211712088	71.2	-3.1	244.621	15.28		
T	20.568421270	-75.211708818	73.5	9.3	244.645	24.76		
T	20.568259181	-75.211673580	75.7	11.9	244.664	18.32		
T	20.568060557	-75.211541385	79.8	15.6	244.690	25.95		
T	20.567957171	-75.211442128	81.9	14.1	244.705	15.43		
T	20.567843565	-75.211275912	86.9	23.1	244.726	21.41		
T	20.567752964	-75.211013807	96.0	31.4	244.755	29.11		
T	20.567616281	-75.210685279	113.6	46.9	244.793	37.45		
T	20.567556497	-75.210139325	143.3	51.8	244.850	57.31		
T	20.567490266	-75.209506751	173.5	45.5	244.917	66.36		
T	20.567435775	-75.208731854	198.2	30.5	244.998	81.02		
T	20.567544949	-75.208053653	183.2	-21.0	245.069	71.74		
T	20.567604986	-75.207373565	160.6	-31.7	245.141	71.22		
T	20.567690337	-75.206968187	153.0	-17.6	245.184	43.31		
T	20.567831832	-75.206746322	161.0	28.8	245.212	27.94		
T	20.567868943	-75.206992667	156.1	-19.0	245.238	26.01		
T	20.567875256	-75.207364310	157.9	4.7	245.277	38.76		
T	20.567887254	-75.207859190	167.2	18.1	245.328	51.62		
T	20.567801674	-75.208355673	178.6	21.6	245.381	52.63		
T	20.567694175	-75.208790352	184.7	13.1	245.428	46.86		
T	20.567606937	-75.209350831	174.3	-17.5	245.487	59.23		
T	20.567545691	-75.210043609	148.3	-35.8	245.559	72.55		
T	20.567487598	-75.210744519	120.0	-38.7	245.633	73.36		
T	20.567432126	-75.211392754	101.5	-27.1	245.701	67.87		
T	20.567388735	-75.212038197	86.0	-23.0	245.768	67.47		
T	20.567285005	-75.212420042	83.6	-5.9	245.810	41.44		
T	20.567112181	-75.212733334	86.3	7.2	245.847	37.86		
T	20.567019233	-75.212761477	87.3	9.0	245.858	10.70		
T	20.566863728	-75.212786914	88.6	7.3	245.876	17.42		
T	20.566738492	-75.212781661	90.1	11.0	245.889	13.88		
T	20.566633584	-75.212677090	97.1	44.4	245.905	15.93		
T	20.566496219	-75.212570251	107.3	54.1	245.924	18.85		
T	20.566350064	-75.212365630	119.3	44.5	245.951	26.78		
T	20.566234621	-75.212163066	132.4	53.2	245.976	24.69		
T	20.566204109	-75.211839595	143.6	33.0	246.010	33.90		
T	20.566158862	-75.211449037	167.5	58.2	246.051	41.03		
T	20.566114069	-75.210944043	202.7	66.7	246.104	52.89		
T	20.566133783	-75.210298152	211.4	12.9	246.171	67.38		
T	20.566342464	-75.209508860	197.0	-16.9	246.256	85.48		
T	20.566563031	-75.208718229	187.7	-10.8	246.342	85.98		
T	20.566970170	-75.207977664	192.4	5.3	246.432	89.41		
T	20.567450661	-75.207162852	156.2	-36.1	246.532	100.24		
T	20.567850429	-75.206467377	174.7	21.8	246.617	84.95		
T	20.568183738	-75.205897189	180.7	8.6	246.687	69.97		
T	20.568530593	-75.205383946	167.9	-19.4	246.753	65.87		
T	20.568862816	-75.205021829	157.4	-20.1	246.806	52.71		
T	20.569163836	-75.204849360	167.2	26.1	246.843	37.87		
T	20.569390634	-75.204810959	174.6	29.0	246.869	25.43		
T	20.569589353	-75.204804870	180.5	26.7	246.891	22.01		
T	20.569788775	-75.204893141	186.1	23.4	246.915	23.92		
T	20.569980999	-75.205101835	191.5	17.9	246.945	30.44		
T	20.570025064	-75.205412047	191.5	-0.1	246.978	32.71		
T	20.570117502	-75.205875223	184.4	-14.5	247.027	49.37		
T	20.570120477	-75.206466857	167.3	-27.7	247.089	61.69		
T	20.569968096	-75.207163298	133.7	-45.1	247.164	74.55		
T	20.569729098	-75.207679280	111.1	-37.6	247.223	59.95		
T	20.569442852	-75.208167850	95.6	-25.9	247.283	59.99		
T	20.569115425	-75.208527913	90.2	-10.2	247.336	52.19		
T	20.568732069	-75.208627594	108.2	41.2	247.379	43.70		
T	20.568421155	-75.208724824	128.7	57.1	247.415	35.88		
T	20.568032686	-75.208788428	156.0	62.7	247.459	43.52		
T	20.567787790	-75.208727325	179.8	85.6	247.487	27.85		
T	20.567558450	-75.208637714	194.3	53.4	247.514	27.06		
T	20.567397585	-75.208548143	199.8	27.6	247.534	20.11		
T	20.567300795	-75.208396827	199.9	0.3	247.553	19.07		
T	20.567266513	-75.208213925	195.6	-22.2	247.572	19.44		
T	20.567268118	-75.207969099	187.5	-31.5	247.598	25.53		
T	20.567304394	-75.207599558	175.3	-31.6	247.637	38.74		
T	20.567480298	-75.207161799	155.3	-40.3	247.686	49.62		
T	20.567618849	-75.206568934	158.4	4.9	247.750	63.69		
T	20.567893647	-75.205939434	178.6	27.9	247.822	72.34		
T	20.568236947	-75.205302472	165.9	-16.6	247.899	76.52		
T	20.568596684	-75.204844907	157.4	-13.7	247.961	62.15		
T	20.568933283	-75.204552251	165.9	17.6	248.009	48.16		
T	20.569043299	-75.204424043	175.0	50.7	248.027	18.08		
T	20.569162472	-75.204418171	179.3	32.6	248.040	13.21		
T	20.569315051	-75.204441024	180.6	7.6	248.057	17.06		
T	20.569412370	-75.204528387	180.3	-2.3	248.071	14.11		
T	20.569531312	-75.204680812	180.6	1.7	248.092	20.64		
T	20.569590288	-75.204930708	178.7	-7.1	248.119	26.86		
T	20.569657837	-75.205303741	176.0	-6.8	248.159	39.61		
T	20.569670373	-75.205741034	176.9	2.0	248.204	45.62		
T	20.569648425	-75.206301783	175.3	-2.8	248.263	58.52		
T	20.569518393	-75.206867822	156.4	-31.1	248.323	60.75		
T	20.569358516	-75.207500702	131.7	-36.2	248.392	68.32		
T	20.569208322	-75.208141487	100.6	-45.2	248.461	68.85		
T	20.568994317	-75.208785249	92.3	-11.6	248.532	71.18		
T	20.568640941	-75.209201518	103.3	18.7	248.590	58.43		
T	20.568347236	-75.209517081	116.5	28.7	248.637	46.26		
T	20.568042301	-75.209608168	132.1	44.4	248.672	35.07		
T	20.567896899	-75.209542507	146.3	81.4	248.689	17.49		
T	20.567817883	-75.209446663	158.3	89.8	248.702	13.28		
T	20.567801026	-75.209289014	165.9	46.3	248.719	16.54		
T	20.567808346	-75.209037990	172.7	26.1	248.745	26.19		
T	20.567847465	-75.208571888	175.7	6.0	248.794	48.79		
T	20.567950409	-75.208104797	168.0	-15.4	248.844	50.02		
T	20.568104519	-75.207635596	161.6	-12.2	248.896	51.81		
T	20.568318317	-75.207194078	162.1	0.9	248.947	51.76		
T	20.568500172	-75.206722878	177.6	29.2	249.001	53.10		
T	20.568839677	-75.206244255	191.1	21.5	249.063	62.48		
T	20.569087436	-75.206295523	186.9	-15.0	249.091	27.95		
T	20.569220669	-75.206413679	182.7	-21.9	249.110	19.22		
T	20.569300844	-75.206659124	171.9	-39.6	249.137	27.09		
T	20.569392220	-75.206904265	157.6	-52.0	249.165	27.49		
T	20.569438033	-75.207183379	143.9	-46.4	249.194	29.54		
T	20.569403509	-75.207562415	126.4	-44.1	249.234	39.70		
T	20.569328727	-75.207882390	111.1	-44.7	249.268	34.37		
T	20.569289667	-75.208235926	95.3	-42.5	249.306	37.11		
T	20.569180957	-75.208494800	89.3	-20.2	249.335	29.55		
T	20.568982521	-75.208625490	92.9	14.1	249.361	25.85		
T	20.568841942	-75.208658571	99.5	41.4	249.377	15.94		
T	20.568723531	-75.208532309	109.5	53.6	249.395	18.58		
T	20.568783279	-75.208404510	105.6	-26.4	249.410	14.88		
T	20.568979411	-75.208242169	99.2	-23.1	249.438	27.53		
T	20.569110832	-75.208175676	100.2	6.5	249.454	16.12		
T	20.569219929	-75.208205479	97.7	-20.7	249.466	12.47		
T	20.569359250	-75.208266437	93.0	-28.3	249.483	16.68		
T	20.569502317	-75.208423771	86.3	-28.9	249.506	22.80		
T	20.569585488	-75.208679622	81.1	-18.5	249.534	28.22		
T	20.569706345	-75.209032680	75.6	-14.2	249.573	39.17		
T	20.569856893	-75.209418700	70.8	-10.8	249.617	43.56		
T	20.569937993	-75.209870361	70.7	-0.3	249.665	47.94		
T	20.569988014	-75.210291363	73.0	5.2	249.709	44.24		
T	20.570004294	-75.210648668	73.3	0.8	249.746	37.30		
T	20.569928165	-75.211071976	68.5	-10.7	249.791	44.93		
T	20.569849510	-75.211526333	63.0	-11.2	249.839	48.17		
T	20.569739518	-75.212108053	66.6	5.8	249.901	61.86		
T	20.569566125	-75.212592639	67.2	1.1	249.955	54.05		
T	20.569430958	-75.213048458	59.0	-16.5	250.005	49.83		
T	20.569288833	-75.213499686	58.2	-1.7	250.055	49.61		
T	20.569143414	-75.213852888	58.2	0.2	250.095	40.19		
T	20.569060272	-75.214206104	59.0	1.9	250.133	37.96		
T	20.569251239	-75.214211657	57.2	-8.5	250.154	21.15		
T	20.569569438	-75.214219833	54.8	-6.9	250.189	35.24		
T	20.569919499	-75.214163896	54.7	-0.1	250.229	39.19		
T	20.570339567	-75.214143261	57.1	5.1	250.275	46.56		
T	20.570758157	-75.214087465	55.3	-4.0	250.322	46.71		
T	20.571142852	-75.213931466	51.7	-7.8	250.367	45.59		
T	20.571597962	-75.213809399	48.7	-5.8	250.419	51.97		
T	20.571957114	-75.213717056	48.6	-0.2	250.460	40.91		
T	20.572279988	-75.213621091	50.1	4.0	250.497	37.12		
T	20.572572785	-75.213557715	51.9	5.2	250.530	33.08		
T	20.572868206	-75.213527516	53.6	5.4	250.563	32.86		
T	20.572772018	-75.213593278	53.0	-4.8	250.576	12.67		
T	20.572607152	-75.213591447	51.9	-6.2	250.594	18.25		
T	20.572342731	-75.213555211	50.7	-3.9	250.624	29.52		
T	20.572045212	-75.213485528	49.8	-2.7	250.658	33.73		
T	20.571845698	-75.213416655	49.5	-1.6	250.681	23.23		
T	20.571641418	-75.213280476	49.1	-1.4	250.707	26.70		
T	20.571502680	-75.213080546	49.1	-0.1	250.733	25.89		
T	20.571362539	-75.212815558	49.9	2.6	250.765	31.69		
T	20.571256539	-75.212584387	51.7	6.9	250.792	26.81		
T	20.571214382	-75.212321102	54.1	8.5	250.820	27.85		
T	20.571199754	-75.211959086	56.6	6.8	250.857	37.78		
T	20.571216438	-75.211564570	57.8	2.8	250.899	41.18		
T	20.571361982	-75.211169418	57.0	-1.7	250.943	44.24		
T	20.571572253	-75.210805658	60.3	7.4	250.987	44.50		
T	20.571880627	-75.210440119	67.3	13.7	251.039	51.17		
T	20.572203399	-75.210174065	65.1	-5.0	251.084	45.24		
T	20.572499272	-75.210072034	59.5	-16.2	251.118	34.44		
T	20.572791513	-75.209968645	61.2	5.1	251.152	34.10		
T	20.573052506	-75.209964382	61.4	0.5	251.181	28.90		
T	20.573282912	-75.209993887	62.7	5.1	251.207	25.69		
T	20.573514401	-75.210089682	65.3	9.4	251.234	27.51		
T	20.573749701	-75.210285604	67.5	6.6	251.268	33.10		
T	20.574028687	-75.210549884	67.6	0.3	251.309	41.39		
T	20.574245234	-75.210849844	68.2	1.5	251.348	39.41		
T	20.574440709	-75.211286985	63.1	-10.0	251.399	50.45		
T	20.574567802	-75.211759085	58.7	-8.7	251.450	51.19		
T	20.574662248	-75.212199625	57.8	-1.8	251.497	47.11		
T	20.574829641	-75.212743433	54.5	-5.6	251.557	59.65		
T	20.574784510	-75.213217741	50.8	-7.3	251.606	49.70		
T	20.574740222	-75.213759183	48.5	-4.1	251.663	56.66		
T	20.574626182	-75.214298894	45.8	-4.6	251.721	57.67		
T	20.574541923	-75.214770324	43.5	-4.7	251.771	50.03		
T	20.574386782	-75.215171920	42.3	-2.5	251.816	45.26		
T	20.574186333	-75.215333996	43.9	5.5	251.844	27.89		
T	20.574053497	-75.215431012	45.2	7.4	251.862	17.85		
T	20.573851283	-75.215458888	47.0	7.9	251.884	22.58		
T	20.573607782	-75.215382368	49.2	8.1	251.912	28.11		
T	20.573534616	-75.215278613	49.7	3.6	251.926	13.51		
T	20.573427221	-75.215173716	50.2	3.0	251.942	16.16		
T	20.573315078	-75.214902302	51.8	5.3	251.973	30.90		
T	20.573306002	-75.214634956	51.6	-0.9	252.001	27.89		
T	20.573362020	-75.214269493	50.3	-3.4	252.040	38.61		
T	20.573515580	-75.213838008	49.6	-1.5	252.088	48.09		
T	20.573666833	-75.213404485	47.6	-4.1	252.136	48.20		
T	20.574054860	-75.212939273	50.4	4.3	252.201	64.79		
T	20.574409737	-75.212537422	54.4	7.0	252.258	57.44		
T	20.574670250	-75.212335320	57.3	8.3	252.294	35.72		
T	20.574903216	-75.212234342	57.3	-0.2	252.322	27.86		
T	20.575170575	-75.212132967	55.6	-5.5	252.353	31.43		
T	20.575482314	-75.212201419	54.9	-1.9	252.388	35.24		
T	20.575762708	-75.212237008	57.9	9.6	252.420	31.26		
T	20.576058827	-75.212546293	56.8	-2.4	252.466	45.99		
T	20.576142301	-75.212820399	55.4	-4.6	252.496	30.04		
T	20.576228634	-75.213163302	53.9	-4.1	252.533	37.01		
T	20.576244792	-75.213606861	52.1	-4.0	252.579	46.28		
T	20.576116780	-75.214113748	52.9	1.6	252.634	54.72		
T	20.575994098	-75.214621633	52.7	-0.5	252.688	54.67		
T	20.575838315	-75.215061547	51.8	-1.8	252.737	49.00		
T	20.575549995	-75.215566592	46.9	-8.0	252.799	61.58		
T	20.575330493	-75.216038245	44.1	-5.0	252.854	54.85		
T	20.575033825	-75.216467943	43.1	-1.9	252.909	55.55		
T	20.574770246	-75.216730013	42.4	-1.7	252.949	39.98		
T	20.574535880	-75.216823498	43.9	5.4	252.977	27.72		
T	20.574299594	-75.216848980	46.0	8.1	253.003	26.29		
T	20.574158841	-75.216708921	46.3	1.2	253.025	21.36		
T	20.574154850	-75.216607500	46.0	-2.7	253.035	10.58		
T	20.574181337	-75.216340278	45.7	-1.0	253.063	28.02		
T	20.574277070	-75.216075857	44.5	-4.2	253.093	29.54		
T	20.574436324	-75.215711027	42.6	-4.5	253.135	41.93		
T	20.574635320	-75.215481700	42.0	-1.9	253.167	32.51		
T	20.574800639	-75.215383662	42.4	1.9	253.188	20.96		
T	20.575068909	-75.215354422	44.1	5.8	253.218	29.86		
T	20.575240342	-75.215458579	46.0	8.5	253.240	21.87		
T	20.575348178	-75.215630354	45.6	-1.6	253.261	21.52		
T	20.575357727	-75.215868737	44.0	-6.5	253.286	24.88		
T	20.575266510	-75.216138751	43.9	-0.6	253.316	29.91		
T	20.575204413	-75.216439800	43.3	-1.8	253.348	32.13		
T	20.575104018	-75.216537602	43.4	0.9	253.363	15.08		
T	20.574975236	-75.216737086	43.2	-0.9	253.389	25.22		
T	20.574771601	-75.216763971	42.5	-2.8	253.411	22.72		
T	20.574800300	-75.216629300	42.4	-1.0	253.426	14.40		
T	20.574968422	-75.216567071	42.9	2.8	253.445	19.71		
T	20.575108122	-75.216639699	43.7	4.5	253.463	17.22		
T	20.575285221	-75.216781818	45.4	7.0	253.487	24.58		
T	20.575361572	-75.216955162	45.9	2.4	253.507	19.95		
T	20.575442705	-75.217231519	43.3	-8.7	253.537	30.18		
T	20.575459242	-75.217641431	38.8	-10.4	253.580	42.78		
T	20.575403524	-75.218112795	37.8	-2.0	253.630	49.53		
T	20.575244342	-75.218545402	38.3	1.0	253.678	48.42		
T	20.575086175	-75.219010561	36.7	-3.1	253.730	51.56		
T	20.574861498	-75.219406187	37.7	1.9	253.778	48.17		
T	20.574637381	-75.219734794	37.2	-1.0	253.820	42.30		
T	20.574508309	-75.219963325	36.2	-3.6	253.848	27.78		
T	20.574309096	-75.220054038	36.7	1.9	253.872	24.00		
T	20.574173920	-75.220046484	37.6	6.2	253.887	14.99		
T	20.574032380	-75.219869398	39.2	6.5	253.911	24.22		
T	20.574022331	-75.219598702	40.2	3.6	253.939	28.25		
T	20.574014920	-75.219330362	40.3	0.2	253.967	27.99		
T	20.574073569	-75.218933055	40.0	-0.6	254.009	41.93		
T	20.574158653	-75.218465246	40.5	1.1	254.059	49.68		
T	20.574244783	-75.218030628	40.9	0.8	254.105	46.31		
T	20.574368961	-75.217731681	41.2	0.8	254.139	34.07		
T	20.574362704	-75.217595408	43.2	14.1	254.154	14.23		
T	20.574127029	-75.217652580	43.8	2.0	254.180	26.76		
T	20.573961748	-75.217746778	42.9	-3.9	254.201	20.77		
T	20.573696707	-75.217804287	42.1	-2.6	254.231	29.95		
T	20.573430536	-75.217794640	40.6	-5.3	254.261	29.49		
T	20.573034440	-75.217846527	37.3	-7.5	254.305	44.18		
T	20.572702981	-75.217832963	34.2	-8.5	254.341	36.72		
T	20.572434841	-75.217753936	33.9	-1.0	254.372	30.81		
T	20.572164372	-75.217704642	36.3	8.0	254.403	30.38		
T	20.571794426	-75.217584796	41.2	11.4	254.445	42.82		
T	20.571495414	-75.217471495	41.9	2.1	254.481	35.15		
T	20.571165553	-75.217357537	41.8	-0.3	254.519	38.40		
T	20.570932902	-75.217151050	41.7	-0.1	254.553	33.57		
T	20.570731386	-75.216849118	41.8	0.1	254.591	38.58		
T	20.570623112	-75.216420568	44.2	5.3	254.637	46.26		
T	20.570475569	-75.215889913	49.6	9.3	254.695	57.69		
T	20.570389061	-75.215264092	45.2	-6.6	254.761	65.95		
T	20.570357483	-75.214538668	50.7	7.3	254.837	75.72		
T	20.570322299	-75.213748810	57.9	8.7	254.919	82.45		
T	20.570295544	-75.213093628	57.6	-0.5	254.988	68.38		
T	20.570279514	-75.212701092	60.5	7.2	255.029	40.97		
T	20.570173649	-75.212503359	63.5	12.4	255.052	23.72		
T	20.570017689	-75.212599837	65.0	7.8	255.072	19.98		
T	20.569958973	-75.212697666	64.9	-0.9	255.084	12.10		
T	20.569802947	-75.212793495	65.1	1.0	255.104	19.96		
T	20.569649624	-75.212954012	62.1	-12.6	255.128	23.84		
T	20.569494346	-75.213049301	59.4	-13.5	255.148	19.86		
T	20.569245770	-75.213175388	58.3	-3.8	255.179	30.50		
T	20.568996940	-75.213331748	59.2	2.9	255.211	32.01		
T	20.568806846	-75.213359159	60.6	6.7	255.232	21.24		
T	20.568675312	-75.213258599	62.0	7.3	255.250	17.94		
T	20.568542732	-75.213157384	64.3	13.2	255.268	18.08		
T	20.568507638	-75.213091576	65.3	11.9	255.276	7.89		
T	20.568472231	-75.212962865	66.5	8.7	255.290	13.98		
T	20.568466434	-75.212739464	67.6	4.5	255.313	23.30		
T	20.568459807	-75.212484121	67.5	-0.2	255.340	26.63		
T	20.568384725	-75.212224870	68.6	4.0	255.368	28.28		
T	20.568162610	-75.212220565	69.6	4.1	255.392	24.59		
T	20.568009476	-75.212314153	70.1	2.4	255.412	19.56		
T	20.567820126	-75.212310019	72.0	8.8	255.433	20.97		
T	20.567630037	-75.212336005	75.2	15.1	255.454	21.22		
T	20.567470314	-75.212330399	78.7	20.2	255.472	17.69		
T	20.567281425	-75.212355820	84.2	26.1	255.493	21.08		
T	20.567147678	-75.212254002	88.6	23.9	255.511	18.22		
T	20.567012797	-75.212182219	93.5	29.4	255.528	16.70		
T	20.566872824	-75.212045659	102.6	43.0	255.549	21.04		
T	20.566763158	-75.211909823	111.6	48.4	255.568	18.65		
T	20.566559693	-75.211831868	122.6	46.0	255.592	23.95		
T	20.566518807	-75.212087175	116.6	-22.3	255.619	27.00		
T	20.566452976	-75.212437843	112.0	-12.3	255.656	37.28		
T	20.566381733	-75.212724595	110.2	-6.0	255.687	30.92		
T	20.566315589	-75.213077292	98.4	-31.3	255.724	37.50		
T	20.566241531	-75.213363001	95.2	-10.3	255.755	30.90		
T	20.566104569	-75.213674642	91.9	-9.2	255.791	35.86		
T	20.565950008	-75.213695169	98.4	37.7	255.808	17.25		
T	20.565849632	-75.213590553	106.6	52.3	255.824	15.57		
T	20.565777166	-75.213484822	113.8	53.1	255.837	13.63		
T	20.565727960	-75.213283643	121.5	35.4	255.859	21.67		
T	20.565674046	-75.213019013	130.4	31.6	255.887	28.23		
T	20.565643664	-75.212661858	144.8	38.6	255.925	37.39		
T	20.565542132	-75.212558105	152.4	48.3	255.940	15.60		
T	20.565447401	-75.212519969	160.2	69.6	255.952	11.22		
T	20.565312274	-75.212352311	177.9	76.9	255.975	23.01		
T	20.565239883	-75.212220024	187.7	61.8	255.991	15.95		
T	20.565173118	-75.212064032	191.4	20.4	256.008	17.87		
T	20.565046529	-75.211846918	192.1	2.8	256.035	26.63		
T	20.565015361	-75.211785827	191.6	-6.9	256.042	7.24		
T	20.564998973	-75.212030673	192.0	1.5	256.068	25.59		
T	20.565013212	-75.212336893	188.7	-10.2	256.100	31.97		
T	20.565039293	-75.212744469	173.5	-35.8	256.142	42.60		
T	20.565066983	-75.213127331	160.5	-32.5	256.182	40.04		
T	20.565100616	-75.213520463	146.5	-33.9	256.224	41.16		
T	20.565138284	-75.213952221	116.2	-67.2	256.269	45.21		
T	20.565165487	-75.214255363	103.6	-39.6	256.301	31.75		
T	20.565185228	-75.214520285	96.3	-26.3	256.328	27.71		
T	20.565176899	-75.214817265	87.5	-28.4	256.359	30.98		
T	20.565189134	-75.214984323	83.1	-25.5	256.377	17.47		
T	20.565196855	-75.215115082	80.1	-21.6	256.390	13.66		
T	20.565213414	-75.215408757	73.2	-22.6	256.421	30.68		
T	20.565224439	-75.215605089	68.4	-23.3	256.442	20.51		
T	20.565235948	-75.215862030	63.7	-17.6	256.468	26.82		
T	20.565273058	-75.216113627	64.0	1.4	256.495	26.55		
T	20.565369582	-75.216368323	64.9	3.1	256.524	28.63		
T	20.565465991	-75.216652558	63.7	-3.8	256.555	31.50		
T	20.565499388	-75.216808942	64.4	4.3	256.572	16.72		
T	20.565533523	-75.216996345	65.7	6.5	256.592	19.90		
T	20.565627975	-75.217218028	67.7	7.8	256.617	25.37		
T	20.565745162	-75.217131487	66.3	-8.6	256.633	15.80		
T	20.565981632	-75.217079479	63.9	-9.2	256.660	26.74		
T	20.566189181	-75.217026087	62.1	-7.4	256.683	23.64		
T	20.566431022	-75.217039553	61.7	-1.6	256.710	26.81		
T	20.566643948	-75.217142608	61.9	0.9	256.736	25.91		
T	20.566826029	-75.217242689	62.9	4.1	256.759	22.70		
T	20.567010112	-75.217436219	66.9	14.0	256.787	28.68		
T	20.567229195	-75.217759191	68.8	4.6	256.829	41.50		
T	20.567455094	-75.218122729	66.3	-5.6	256.874	45.41		
T	20.567557084	-75.218477470	65.7	-1.6	256.913	38.67		
T	20.567724226	-75.218933268	63.4	-4.4	256.964	51.00		
T	20.567865561	-75.219486836	63.4	-0.0	257.024	59.80		
T	20.567948064	-75.220011468	53.6	-17.7	257.079	55.46		
T	20.567964011	-75.220433404	55.3	3.9	257.123	44.03		
T	20.567973705	-75.220784147	60.1	13.2	257.160	36.59		
T	20.567890659	-75.221066827	61.2	3.7	257.191	30.87		
T	20.567743251	-75.221278525	61.0	-0.8	257.218	27.45		
T	20.567618273	-75.221264884	58.9	-15.0	257.232	13.91		
T	20.567492526	-75.221219112	56.9	-13.6	257.247	14.72		
T	20.567454863	-75.221022823	57.1	0.8	257.268	20.89		
T	20.567542759	-75.220871941	58.2	6.0	257.286	18.50		
T	20.567657450	-75.220594997	59.3	3.4	257.318	31.54		
